ability,games,Description
Stench,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","By releasing stench when attacking, this Pokémon may cause the target to flinch."
Stench,"['Scarlet', 'Violet']","By releasing a stench when attacking, the Pokémon may cause the target to flinch."
Effect Spore,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Leaves spores on contact.
Effect Spore,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']","Contact may paralyze, poison, or cause sleep."
Effect Spore,"['Black', 'White', 'Black 2', 'White 2']",Contact may poison or cause paralysis or sleep.
Effect Spore,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Contact may poison or cause paralysis or sleep.
Effect Spore,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker."
Effect Spore,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker."
Effect Spore,"['Scarlet', 'Violet']","Contact with the Pokémon may inflict poison, sleep, or paralysis on the attacker."
Dry Skin,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Reduces HP if it is hot. Water restores HP.
Dry Skin,"['Black', 'White', 'Black 2', 'White 2']",Reduces HP if it is hot. Water restores HP.
Dry Skin,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Reduces HP if it’s hot. Water restores HP.
Dry Skin,"['Sun', 'Moon']","Restores HP in rain or when hit by Water-type moves. Reduces HP in sunshine, and increases the damage received from Fire-type moves."
Dry Skin,"['Ultra Sun', 'Ultra Moon']","Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves."
Dry Skin,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves."
Dry Skin,"['Scarlet', 'Violet']","Restores the Pokémon’s HP in rain or when it is hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves."
Damp,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents self-destruction.
Damp,"['Diamond', 'Pearl', 'Platinum']",Prevents combatants from self destructing.
Damp,"['HeartGold', 'SoulSilver']",Prevents combatants from self-destructing.
Damp,"['Black', 'White', 'Black 2', 'White 2']",Prevents the use of self-destructing moves.
Damp,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents the use of self-destructing moves.
Damp,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.
Damp,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings."
Damp,"['Scarlet', 'Violet']","The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct."
Wonder Skin,"['Black', 'White', 'Black 2', 'White 2']",Makes status-changing moves more likely to miss.
Wonder Skin,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Makes status moves more likely to miss.
Wonder Skin,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Makes status moves more likely to miss.
Wonder Skin,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Makes status moves more likely to miss.
Wonder Skin,"['Scarlet', 'Violet']",Makes status moves more likely to miss the Pokémon.
Arena Trap,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents fleeing.
Arena Trap,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Prevents the foe from fleeing.
Arena Trap,"['Black', 'White', 'Black 2', 'White 2']",Prevents the foe from fleeing.
Arena Trap,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents opposing Pokémon from fleeing.
Arena Trap,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Prevents opposing Pokémon from fleeing.
Arena Trap,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Prevents opposing Pokémon from fleeing.
Arena Trap,"['Scarlet', 'Violet']",Prevents opposing Pokémon from fleeing from battle.
Sand Force,"['Black', 'White', 'Black 2', 'White 2']",Boosts certain moves’ power in a sandstorm.
Sand Force,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts certain moves’ power in a sandstorm.
Sand Force,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm."
Sand Force,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm."
Sand Force,"['Scarlet', 'Violet']","Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm."
Pickup,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",May pick up items.
Pickup,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon may pick up items.
Pickup,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon may pick up items.
Pickup,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon may pick up items.
Pickup,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too."
Pickup,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too."
Pickup,"['Scarlet', 'Violet']","The Pokémon may pick up an item another Pokémon used during a battle. It may pick up items outside of battle, too."
Technician,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Powers up the Pokémon’s weaker moves.
Technician,"['Black', 'White', 'Black 2', 'White 2']",Powers up the Pokémon’s weaker moves.
Technician,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Powers up the Pokémon’s weaker moves.
Technician,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Powers up the Pokémon’s weaker moves.
Technician,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Powers up the Pokémon’s weaker moves.
Technician,"['Scarlet', 'Violet']",Powers up weak moves so the Pokémon can deal more damage with them.
Limber,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents paralysis.
Limber,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon is protected from paralysis.
Limber,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon is protected from paralysis.
Limber,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Protects the Pokémon from paralysis.
Limber,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Its limber body protects the Pokémon from paralysis.
Limber,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Its limber body protects the Pokémon from paralysis.
Limber,"['Scarlet', 'Violet']",The Pokémon’s limber body prevents it from being paralyzed.
Cloud Nine,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Negates weather effects.
Cloud Nine,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Eliminates the effects of weather.
Cloud Nine,"['Black', 'White', 'Black 2', 'White 2']",Eliminates the effects of weather.
Cloud Nine,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Eliminates the effects of weather.
Cloud Nine,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Eliminates the effects of weather.
Cloud Nine,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Eliminates the effects of weather.
Cloud Nine,"['Scarlet', 'Violet']",Eliminates the effects of weather.
Swift Swim,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Raises SPEED in rain.
Swift Swim,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Boosts the Pokémon’s Speed in rain.
Swift Swim,"['Black', 'White', 'Black 2', 'White 2']",Boosts the Pokémon’s Speed in rain.
Swift Swim,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Pokémon’s Speed stat in rain.
Swift Swim,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Boosts the Pokémon’s Speed stat in rain.
Swift Swim,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts the Pokémon’s Speed stat in rain.
Swift Swim,"['Scarlet', 'Violet']",Boosts the Pokémon’s Speed stat in rain.
Vital Spirit,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents sleep.
Vital Spirit,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Prevents the Pokémon from falling asleep.
Vital Spirit,"['Black', 'White', 'Black 2', 'White 2']",Prevents the Pokémon from falling asleep.
Vital Spirit,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents the Pokémon from falling asleep.
Vital Spirit,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The Pokémon is full of vitality, and that prevents it from falling asleep."
Vital Spirit,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The Pokémon is full of vitality, and that prevents it from falling asleep."
Vital Spirit,"['Scarlet', 'Violet']","The Pokémon is full of vitality, and that prevents it from falling asleep."
Anger Point,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Raises Attack upon taking a critical hit.
Anger Point,"['Black', 'White', 'Black 2', 'White 2']",Maxes Attack after taking a critical hit.
Anger Point,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Maxes the Attack stat after the Pokémon takes a critical hit.
Anger Point,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat."
Anger Point,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat."
Anger Point,"['Scarlet', 'Violet']","The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat."
Defiant,"['Black', 'White', 'Black 2', 'White 2']",When its stats are lowered its Attack increases.
Defiant,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Pokémon’s Attack stat when its stats are lowered.
Defiant,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Boosts the Pokémon’s Attack stat sharply when its stats are lowered.
Defiant,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts the Pokémon’s Attack stat sharply when its stats are lowered.
Defiant,"['Scarlet', 'Violet']","If the Pokémon has any stat lowered by an opposing Pokémon, its Attack stat will be boosted sharply."
Justified,"['Black', 'White', 'Black 2', 'White 2']",Raises Attack when hit by a Dark-type move.
Justified,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Attack stat when it’s hit by a Dark-type move.
Justified,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Being hit by a Dark-type move boosts the Attack stat of the Pokémon, for justice."
Justified,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","Being hit by a Dark-type move boosts the Attack stat of the Pokémon, for justice."
Justified,"['Scarlet', 'Violet']","When the Pokémon is hit by a Dark-type attack, its Attack stat is boosted by its sense of justice."
Water Absorb,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Changes water into HP.
Water Absorb,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Restores HP if hit by a Water-type move.
Water Absorb,"['Black', 'White', 'Black 2', 'White 2']",Restores HP if hit by a Water-type move.
Water Absorb,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Restores HP if hit by a Water-type move.
Water Absorb,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Restores HP if hit by a Water-type move, instead of taking damage."
Water Absorb,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Restores HP if hit by a Water-type move instead of taking damage.
Water Absorb,"['Scarlet', 'Violet']","If hit by a Water-type move, the Pokémon has its HP restored instead of taking damage."
Synchronize,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Passes on status problems.
Synchronize,"['Diamond', 'Pearl', 'Platinum']","Passes on a burn, poison, or paralysis to the foe."
Synchronize,"['HeartGold', 'SoulSilver']","Passes a burn, poison, or paralysis to the foe."
Synchronize,"['Black', 'White', 'Black 2', 'White 2']","Passes a burn, poison, or paralysis to the foe."
Synchronize,"['X', 'Y', 'O.Ruby', 'A.Sapphire']","Passes poison, paralyze, or burn to the Pokémon that inflicted it."
Synchronize,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon."
Synchronize,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokémon."
Synchronize,"['Scarlet', 'Violet']","If the Pokémon is burned, paralyzed, or poisoned by another Pokémon, that Pokémon will be inflicted with the same status condition."
No Guard,"['Diamond', 'Pearl', 'Platinum']",Ensures the Pokémon and its foe’s attacks land.
No Guard,"['HeartGold', 'SoulSilver']",Ensures both Pokémon’s and foe’s attacks land.
No Guard,"['Black', 'White', 'Black 2', 'White 2']",Ensures attacks by or against the Pokémon land.
No Guard,"['X', 'Y']",Ensures attacks by or against the Pokémon land.
No Guard,"['O.Ruby', 'A.Sapphire']",Ensures that attacks by or against the Pokémon will land.
No Guard,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.
No Guard,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.
No Guard,"['Scarlet', 'Violet']",The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.
Steadfast,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Raises Speed each time the Pokémon flinches.
Steadfast,"['Black', 'White', 'Black 2', 'White 2']",Raises Speed each time the Pokémon flinches.
Steadfast,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts the Speed stat each time the Pokémon flinches.
Steadfast,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon’s determination boosts the Speed stat each time the Pokémon flinches.
Steadfast,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon’s determination boosts the Speed stat each time the Pokémon flinches.
Steadfast,"['Scarlet', 'Violet']",The Pokémon’s determination boosts its Speed stat every time it flinches.
Gluttony,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Encourages the early use of a held Berry.
Gluttony,"['Black', 'White', 'Black 2', 'White 2']",Encourages the early use of a held Berry.
Gluttony,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Makes the Pokémon use a held Berry earlier than usual.
Gluttony,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual."
Gluttony,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual."
Gluttony,"['Scarlet', 'Violet']","If the Pokémon is holding a Berry to be eaten when its HP is low, it will instead eat the Berry when its HP drops to half or less."
Clear Body,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents ability reduction.
Clear Body,"['Diamond', 'Pearl', 'Platinum']",Prevents the Pokémon’s stats from being lowered.
Clear Body,"['HeartGold', 'SoulSilver']",Prevents its stats from being lowered.
Clear Body,"['Black', 'White', 'Black 2', 'White 2']",Prevents other Pokémon from lowering its stats.
Clear Body,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents other Pokémon from lowering its stats.
Clear Body,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
Clear Body,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
Clear Body,"['Scarlet', 'Violet']",Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
Liquid Ooze,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Draining causes injury.
Liquid Ooze,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Inflicts damage on foes using any draining move.
Liquid Ooze,"['Black', 'White', 'Black 2', 'White 2']",Damages attackers using any draining move.
Liquid Ooze,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Damages attackers using any draining move.
Liquid Ooze,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","Oozed liquid has strong stench, which damages attackers using any draining move."
Liquid Ooze,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The oozed liquid has a strong stench, which damages attackers using any draining move."
Liquid Ooze,"['Scarlet', 'Violet']",The strong stench of the Pokémon’s oozed liquid damages attackers that use HP-draining moves.
Rock Head,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents recoil damage.
Rock Head,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Protects the Pokémon from recoil damage.
Rock Head,"['Black', 'White', 'Black 2', 'White 2']",Protects the Pokémon from recoil damage.
Rock Head,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Protects the Pokémon from recoil damage.
Rock Head,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Protects the Pokémon from recoil damage.
Rock Head,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Protects the Pokémon from recoil damage.
Rock Head,"['Scarlet', 'Violet']",Protects the Pokémon from recoil damage.
Sturdy,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Negates 1-hit KO attacks.
Sturdy,"['Diamond', 'Pearl', 'Platinum']",The Pokémon is protected against 1-hit KO attacks.
Sturdy,"['HeartGold', 'SoulSilver']",It is protected against 1-hit KO attacks.
Sturdy,"['Black', 'White', 'Black 2', 'White 2']",It cannot be knocked out with one hit.
Sturdy,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",It cannot be knocked out with one hit.
Sturdy,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either."
Sturdy,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either."
Sturdy,"['Scarlet', 'Violet']",The Pokémon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out.
Flame Body,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Burns the foe on contact.
Flame Body,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Contact with the Pokémon may burn the foe.
Flame Body,"['Black', 'White', 'Black 2', 'White 2']",Contact with the Pokémon may burn the attacker.
Flame Body,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Contact with the Pokémon may burn the attacker.
Flame Body,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Contact with the Pokémon may burn the attacker.
Flame Body,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Contact with the Pokémon may burn the attacker.
Flame Body,"['Scarlet', 'Violet']",Contact with the Pokémon may burn the attacker.
Oblivious,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents attraction.
Oblivious,"['Diamond', 'Pearl', 'Platinum']",Prevents the Pokémon from becoming infatuated.
Oblivious,"['HeartGold', 'SoulSilver']",Prevents it from becoming infatuated.
Oblivious,"['Black', 'White', 'Black 2', 'White 2']",Prevents it from becoming infatuated.
Oblivious,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Keeps the Pokémon from being infatuated or falling for taunts.
Oblivious,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts."
Oblivious,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts."
Oblivious,"['Scarlet', 'Violet']","The Pokémon is oblivious, keeping it from being infatuated, falling for taunts, or being affected by Intimidate."
Own Tempo,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents confusion.
Own Tempo,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Prevents the Pokémon from becoming confused.
Own Tempo,"['Black', 'White', 'Black 2', 'White 2']",Prevents the Pokémon from becoming confused.
Own Tempo,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents the Pokémon from becoming confused.
Own Tempo,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","This Pokémon has its own tempo, and that prevents it from becoming confused."
Own Tempo,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","This Pokémon has its own tempo, and that prevents it from becoming confused."
Own Tempo,"['Scarlet', 'Violet']","The Pokémon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate."
Regenerator,"['Black', 'White', 'Black 2', 'White 2']",Restores a little HP when withdrawn from battle.
Regenerator,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Restores a little HP when withdrawn from battle.
Regenerator,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Restores a little HP when withdrawn from battle.
Regenerator,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Restores a little HP when withdrawn from battle.
Regenerator,"['Scarlet', 'Violet']",The Pokémon has a little of its HP restored when withdrawn from battle.
Magnet Pull,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Traps STEEL-type POKéMON.
Magnet Pull,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Prevents Steel-type Pokémon from escaping.
Magnet Pull,"['Black', 'White', 'Black 2', 'White 2']",Prevents Steel-type Pokémon from escaping.
Magnet Pull,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Prevents Steel-type Pokémon from escaping.
Magnet Pull,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Prevents Steel-type Pokémon from escaping using its magnetic force.
Magnet Pull,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Prevents Steel-type Pokémon from escaping using its magnetic force.
Magnet Pull,"['Scarlet', 'Violet']",Prevents Steel-type Pokémon from fleeing by pulling them in with magnetism.
Analytic,"['Black', 'White', 'Black 2', 'White 2']",Boosts move power when the Pokémon moves last.
Analytic,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Boosts move power when the Pokémon moves after the target.
Analytic,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Boosts move power when the Pokémon moves last.
Analytic,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Boosts move power when the Pokémon moves last.
Analytic,"['Scarlet', 'Violet']",Boosts the power of the Pokémon’s move if it is the last to act that turn.
Early Bird,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Awakens quickly from sleep.
Early Bird,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon awakens quickly from sleep.
Early Bird,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon awakens quickly from sleep.
Early Bird,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon awakens quickly from sleep.
Early Bird,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon awakens twice as fast as other Pokémon from sleep.
Early Bird,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon awakens from sleep twice as fast as other Pokémon.
Early Bird,"['Scarlet', 'Violet']",The Pokémon awakens from sleep twice as fast as other Pokémon.
Thick Fat,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Heat-and-cold protection.
Thick Fat,"['Diamond', 'Pearl', 'Platinum']",Raises resistance to Fire- and Ice-type moves.
Thick Fat,"['HeartGold', 'SoulSilver']",Ups resistance to Fire- and Ice-type moves.
Thick Fat,"['Black', 'White', 'Black 2', 'White 2']",Ups resistance to Fire- and Ice-type moves.
Thick Fat,"['X', 'Y']",Boosts resistance to Fire- and Ice-type moves.
Thick Fat,"['O.Ruby', 'A.Sapphire']",Boosts resistance to Fire- and Ice-type moves.
Thick Fat,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']","The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves."
Thick Fat,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']","The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves."
Thick Fat,"['Scarlet', 'Violet']","The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves."
Hydration,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Heals status problems if it is raining.
Hydration,"['Black', 'White', 'Black 2', 'White 2']",Heals status problems if it is raining.
Hydration,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Heals status conditions if it’s raining.
Hydration,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Heals status conditions if it’s raining.
Hydration,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Heals status conditions if it’s raining.
Hydration,"['Scarlet', 'Violet']",Cures the Pokémon’s status conditions in rain.
Ice Body,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon regains HP in a hailstorm.
Ice Body,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon gradually regains HP in a hailstorm.
Ice Body,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",The Pokémon gradually regains HP in a hailstorm.
Ice Body,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",The Pokémon gradually regains HP in a hailstorm.
Ice Body,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",The Pokémon gradually regains HP in a hailstorm.
Ice Body,"['Scarlet', 'Violet']",The Pokémon gradually regains HP in snow.
Sticky Hold,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Prevents item theft.
Sticky Hold,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",Protects the Pokémon from item theft.
Sticky Hold,"['Black', 'White', 'Black 2', 'White 2']",Protects the Pokémon from item theft.
Sticky Hold,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Protects the Pokémon from item theft.
Sticky Hold,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.
Sticky Hold,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",Items held by the Pokémon are stuck fast and cannot be removed by other Pokémon.
Sticky Hold,"['Scarlet', 'Violet']",The Pokémon’s held items cling to its sticky body and cannot be removed by other Pokémon.
Poison Touch,"['Black', 'White', 'Black 2', 'White 2']",May poison targets when a Pokémon makes contact.
Poison Touch,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",May poison a target when the Pokémon makes contact.
Poison Touch,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",May poison a target when the Pokémon makes contact.
Poison Touch,"['Sword', 'Shield', 'B.Diamond', 'S.Pearl']",May poison a target when the Pokémon makes contact.
Poison Touch,"['Scarlet', 'Violet']",May poison a target when the Pokémon makes contact.
Shell Armor,"['Ruby', 'Sapphire', 'FireRed', 'LeafGreen', 'Emerald']",Blocks critical hits.
Shell Armor,"['Diamond', 'Pearl', 'Platinum', 'HeartGold', 'SoulSilver']",The Pokémon is protected against critical hits.
Shell Armor,"['Black', 'White', 'Black 2', 'White 2']",The Pokémon is protected against critical hits.
Shell Armor,"['X', 'Y', 'O.Ruby', 'A.Sapphire']",Protects the Pokémon from critical hits.
Shell Armor,"['Sun', 'Moon', 'Ultra Sun', 'Ultra Moon']",A hard shell protects the Pokémon from critical hits.
