name,effect,cathegory
Gigantamix,One of the many ingredients that can be used for cooking at your camp. A mysterious spice. Even a tiny sprinkle is sure to make a curry gigantic.,General items
Gigaton Ball,,Pokeballs
Gimmighoul Coin,Material obtained after defeating/catching Gimmighoul. Allows evolution into Gholdengo.,General items
Girafarig Fur,"Material obtained after defeating/catching Girafarig, used in TM crafting.",General items
Glalitite,Enables Glalie to Mega Evolve during battle.,Hold items
Glimmet Crystal,"Material obtained after defeating/catching Glimmet, used in TM crafting.",General items
Gold Bottle,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.",
Gold Bottle Cap,Maximizes all of a Pokémon's IV stats in Hyper Training.,General items
Gold Cup,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content.",
Gold Leaf,,General items
Gold Pick,"A golden pick that oozes class. Using it on a sandwich lends an extravagant air that’ll make you want to eat up, even if you don’t love the fillings.",
Golden Nanab Berry,"Drastically calms a Pokémon in battle, in Let's Go Pikachu/Eevee.",Berries
Golden Pinap Berry,"Drastically increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go.",Berries
Golden Razz Berry,Makes a Pokémon easier to catch in Pokémon Let's Go.,Berries
Gooey Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,General items
Goomy Goo,"Material obtained after defeating/catching Goomy, used in TM crafting.",General items
Gothita Eyelash,"Material obtained after defeating/catching Gothita, used in TM crafting.",General items
Grain Cake,,General items
Grass Gem,Increases the power of a Grass-type move only once.,Hold items
Grass Memory,Changes Silvally and its move Multi-Attack to Grass type.,Hold items
Grass Tera Shard,Changes a Pokémon's Tera Type to Grass.,
Grassium Z,"Allows the use of Bloom Doom, the Grass type Z-Move.",Hold items
Grassy Seed,An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.,Hold items
Great Ball,Catches wild Pokémon with 1.5x the rate of a Poké Ball.,Pokeballs
Greavard Wax,"Material obtained after defeating/catching Greavard, used in TM crafting.",General items
Green Apricorn,"A green Apricorn. It has a mysterious, aromatic scent.",General items
Green Bell Pepper,"An ingredient with some bitterness. When sliced, it adds a nice accent to a sandwich.",
Green Dish,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The green variety is quite popular.,
Green Poké Ball Pick,A sandwich pick with a simple green Poké Ball design. Often used by Trainers who picked a Grass-type Pokémon for their first partner.,
Green Scarf,Raises holder's Smart aspect in a Contest.,General items
Green Shard,A small green shard. It appears to be from some sort of implement made long ago.,General items
Grepa Berry,Increases Friendship but lowers Special Defense EVs.,Berries
Grimer Toxin,"Material obtained after defeating/catching Grimer, used in TM crafting.",General items
Grip Claw,A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.,Hold items
Griseous Core,,Hold items
Griseous Orb,"Increases the power of Dragon- and Ghost-type moves when held by Giratina, and changes it to Origin Forme.",Hold items
Grit Dust,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 0-2.",Hold items
Grit Gravel,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 3-5.",Hold items
Grit Pebble,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 6-8.",Hold items
Grit Rock,"Raises EVs by 1 in Legends: Arceus, when current EVs are between 8-9.",Hold items
Ground Gem,Increases the power of a Ground-type move only once.,Hold items
Ground Memory,Changes Silvally and its move Multi-Attack to Ground type.,Hold items
Ground Tera Shard,Changes a Pokémon's Tera Type to Ground.,
Groundium Z,"Allows the use of Tectonic Rage, the Ground type Z-Move.",Hold items
Growlithe Fur,"Material obtained after defeating/catching Growlithe, used in TM crafting.",General items
Growth Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.,General items
Grubby Hanky,A handkerchief dropped by a regular at Café Warehouse. It smells faintly like a Pokémon.,Hold items
Guard Spec.,Prevents stat reduction for five turns.,Battle items
Gulpin Mucus,"Material obtained after defeating/catching Gulpin, used in TM crafting.",General items
Gyaradosite,Enables Gyarados to Mega Evolve during battle.,Hold items
Haban Berry,Weakens a supereffective Dragon-type attack against the holding Pokémon.,Berries
Ham,A very salty ingredient—and that very saltiness is what makes it such a nice companion to veggies.,
Hamburger,This very salty ingredient is the thing to add if you want to make your sandwich truly filling.,
Happiny Dust,"Material obtained after defeating/catching Happiny, used in TM crafting.",General items
Hard Stone,Increases the power of Rock-type moves.,Hold items
Hasty Mint,Changes the Pokémon's stats to match the Hasty nature.,Battle items
Hatenna Dust,"Material obtained after defeating/catching Hatenna, used in TM crafting.",General items
Hawlucha Down,"Material obtained after defeating/catching Hawlucha, used in TM crafting.",General items
Heal Ball,Catches wild Pokémon and fully heals them.,Pokeballs
Heal Powder,"Heals all status problems, but lowers Friendship.",Medicine
Health Candy,Increases a Pokémon's HP stat by 1.,Medicine
Health Candy L,Increases a Pokémon's HP stat.,Medicine
Health Candy XL,Increases a Pokémon's HP stat.,Medicine
Health Feather,Increases HP EVs by 1.,Medicine
Health Mochi,Increases HP EVs.,Medicine
Heart Scale,"A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow.",General items
Hearty Grains,,General items
Heat Rock,A Pokémon held item that extends the duration of the move Sunny Day used by the holder.,Hold items
Heavy Ball,A Poké Ball for catching very heavy Pokémon.,Pokeballs
Heavy-Duty Boots,Protects the holder from traps set on the battlefield.,Hold items
Helix Fossil,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.,General items
Heracronite,Enables Heracross to Mega Evolve during battle.,Hold items
Heracross Claw,"Material obtained after defeating/catching Heracross, used in TM crafting.",General items
Herbed Sausage,A very salty and bitter ingredient. The balance between the potent saltiness and the herbs’ bitterness make this sausage a pleasure.,
Heroic Sword Pick,"A pick made to be the coolest. Once you’ve eaten, you can pretend you’re a hero of legend. Souvenir shops at tourist spots sell these for some reason.",
Hi-tech Earbuds,Strange earbuds that allow you to freely control the volume of various sounds.,Hold items
Hippopotas Sand,"Material obtained after defeating/catching Hippopotas, used in TM crafting.",General items
HM01,Teaches the move Cut.,Machines
HM02,Teaches the move Fly.,Machines
HM03,Teaches the move Surf.,Machines
HM04,Teaches the move Strength.,Machines
HM05,Teaches the move Flash/Defog/Whirlpool/Waterfall.,Machines
HM06,Teaches the move Whirlpool/Rock Smash/Dive.,Machines
HM07,Teaches the move Waterfall.,Machines
HM08,Teaches the move Dive/Rock Climb.,Machines
Hometown Muffin,,General items
Hondew Berry,Increases Friendship but lowers Special Attack EVs.,Berries
Honey,"A sweet honey with a lush aroma that attracts wild Pokémon when it is used in grass, caves, or on special trees.",General items
Honey Cake,,General items
Honor Of Kalos,A precious symbol that is awarded only to an individual who has done great things for the Kalos region.,Hold items
Hopo Berry,"A Berry that can be fed to a Pokémon to restore its PP. If a wild Pokémon eats one of these Berries, that Pokémon’s reactions will be dulled.",General items
Hoppip Leaf,"Material obtained after defeating/catching Hoppip, used in TM crafting.",General items
Horseradish,A very spicy condiment. Its distinctive sharp sizzle in your sinuses makes it a good match for rich fillings.,
Houndoominite,Enables Houndoom to Mega Evolve during battle.,Hold items
Houndour Fang,"Material obtained after defeating/catching Houndour, used in TM crafting.",General items
HP Up,Increases HP EVs by 10.,Medicine
Hyper Potion,Restores 120 HP.,Medicine
Iapapa Berry,"Restores HP if it's low, but may cause confusion.",Berries
Ice Gem,Increases the power of an Ice-type move only once.,Hold items
Ice Heal,Cures a Pokémon of freezing.,Medicine
Ice Memory,Changes Silvally and its move Multi-Attack to Ice type.,Hold items
Ice Stone,Evolves certain species of Pokémon.,General items
Ice Tera Shard,Changes a Pokémon's Tera Type to Ice.,
Iceroot Carrot,Produce that the King of Bountiful Harvests’ beloved steed likes to eat. It grew in a field covered in snow.,General items
Icicle Plate,Increases power of Ice-type moves. Changes Arceus' type to Ice.,Hold items
Icium Z,"Allows the use of Subzero Slammer, the Ice type Z-Move.",Hold items
Icy Rock,A Pokémon held item that extends the duration of the move Hail used by the holder.,Hold items
Igglybuff Fluff,"Material obtained after defeating/catching Igglybuff, used in TM crafting.",General items
Impidimp Hair,"Material obtained after defeating/catching Impidimp, used in TM crafting.",General items
Impish Mint,Changes the Pokémon's stats to match the Impish nature.,Battle items
Incinium Z,"Allows Incineroar to upgrade Darkest Lariat to a Z-Move, Malicious Moonsault.",Hold items
Indeedee Fur,"Material obtained after defeating/catching Indeedee, used in TM crafting.",General items
Insect Plate,Increases power of Bug-type moves. Changes Arceus' type to Bug.,Hold items
Instant Noodles,"One of the many ingredients that can be used for cooking at your camp. It has a junk-food sort of taste, but it goes well with curry.",General items
Intriguing Stone,A rather curious stone that might appear to be valuable to some. It's all in the eye of the beholder.,Hold items
Iron,Increases Defense EVs by 10.,Medicine
Iron Ball,A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.,Hold items
Iron Barktongue,,General items
Iron Chunk,,General items
Iron Plate,Increases power of Steel-type moves. Changes Arceus' type to Steel.,Hold items
Item Drop,"When used, it causes an ally Pokémon to drop a held item.",Battle items
Item Urge,"When used, it causes an ally Pokémon to use its held item.",Battle items
Jaboca Berry,"If held by a Pokémon and a physical attack lands, the attacker also takes damage.",Berries
Jalapeño,A very spicy ingredient—so spicy as to leave no room for ambivalence about it. You either like it or you don’t.,
Jam,"A condiment that’s very sweet and likewise very sour. Take care when adding it to sandwiches, as the sweet side can overwhelm.",
Jet Ball,,Pokeballs
Johto Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Johto Room at Ramanas Park.,
Jolly Mint,Changes the Pokémon's stats to match the Jolly nature.,Battle items
Jubilife Muffin,,General items
Kangaskhanite,Enables Kangaskhan to Mega Evolve during battle.,Hold items
Kanto Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Kanto Room at Ramanas Park.,
Kasib Berry,Weakens a supereffective Ghost-type attack against the holding Pokémon.,Berries
Kebia Berry,Weakens a supereffective Poison-type attack against the holding Pokémon.,Berries
Kee Berry,"If held by a Pokémon, this Berry will increase the holder's Defense if it's hit with a physical move.",Berries
Kelpsy Berry,Increases Friendship but lowers Attack EVs.,Berries
Ketchup,"A condiment with very salty and tart flavor. While a number of other ingredients go into its signature flavor, the noble tomato is its heart and soul.",
King's Leaf,,General items
King's Rock,May cause opponent to flinch. Evolves Poliwhirl and Slowpoke when traded holding the item.,Hold items
Kiwi,A very tart ingredient that has a light touch of sweetness as well. It goes well with rich ingredients.,
Klawf Claw,"Material obtained after defeating/catching Klawf, used in TM crafting.",General items
Klawf Stick,A very sweet and salty ingredient. It’s a nutritious processed food made with a concentrate derived from shed Klawf shells.,
Klefki Key,"Material obtained after defeating/catching Klefki, used in TM crafting.",General items
Kofu's Wallet,"A wallet that was left behind by Kofu, the Gym Leader at the Cascarrafa Gym. You’re to deliver it to him at the market in Porto Marinada.",
Komala Claw,"Material obtained after defeating/catching Komala, used in TM crafting.",General items
Kommonium Z,"Allows Kommo-o to upgrade Clanging Scales to a Z-Move, Clangorous Soulblaze.",Hold items
Koraidon's Poké Ball,A Poké Ball that can hold the mysterious Pokémon known as Koraidon. A boy named Arven gave it to you.,
Kricketot Shell,"Material obtained after defeating/catching Kricketot, used in TM crafting.",General items
Lagging Tail,Holder always attacks last.,Hold items
Lansat Berry,Increases critical-hit ratio when HP is low.,Berries
Large Leek,One of the many ingredients that can be used for cooking at your camp. Whether this is the kind of vegetable stalk that Farfetch’d like is unknown.,General items
Larvesta Fuzz,"Material obtained after defeating/catching Larvesta, used in TM crafting.",General items
Larvitar Claw,"Material obtained after defeating/catching Larvitar, used in TM crafting.",General items
Latiasite,Enables Latias to Mega Evolve during battle.,Hold items
Latiosite,Enables Latios to Mega Evolve during battle.,Hold items
Lava Cookie,Heals all major status conditions.,Medicine
Lax Incense,Lowers the opponent's accuracy. Breeding Wobbuffet produces Wynaut when held.,Hold items
Lax Mint,Changes the Pokémon's stats to match the Lax nature.,Battle items
Leaden Ball,,Pokeballs
Leader's Crest,A shard of what appears to be an old blade of some sort. It is held only by Bisharp that head up a group of Pawniard.,
Leaf Letter,A letter written on a leaf. Something is written using Eevee's footprints.,General items
Leaf Stone,Evolves certain species of Pokémon.,General items
Leafy Tablecloth,A botanically themed tablecloth featuring Grass-type Pokémon. Can you find the Pokémon that doesn’t quite fit in?,
Lechonk Hair,"Material obtained after defeating/catching Lechonk, used in TM crafting.",General items
Leek,Increases critical-hit ratio when held by Farfetch'd.,Hold items
Leftovers,An item to be held by a Pokémon. The holder's HP is gradually restored during battle.,Hold items
Legend Plate,,Hold items
Lemonade,Restores 70 HP.,Medicine
Leppa Berry,"If held by a Pokémon, it restores a move's PP by 10.",Berries
Lettuce,This bitter-tasting ingredient is simple and straightforward—just add it to all kinds of other ingredients for a delightfully crunchy time.,
Level Ball,A Poké Ball for catching Pokémon that are a lower level than your own.,Pokeballs
Liechi Berry,Raises Attack when HP is low.,Berries
Life Orb,"Increases the power of moves, but loses HP each turn.",Hold items
Light Ball,An item to be held by PIKACHU. It is a puzzling orb that raises the Attack and Sp. Atk stat.,Hold items
Light Clay,A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.,Hold items
Lilac Tablecloth,"A light purple tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound.",
Linking Cord,A string exuding a mysterious energy that makes you feel a strange sense of connection. It’s loved by certain Pokémon.,General items
Litleo Tuft,"Material obtained after defeating/catching Litleo, used in TM crafting.",General items
Loaded Dice,Makes multi-strike moves more likely to hit more times.,Hold items
Lone Earring,,General items
Lonely Mint,Changes the Pokémon's stats to match the Lonely nature.,Battle items
Looker Ticket,A ticket that was handmade by Looker. It's decorated with a liberal amount of glittery paint.,Hold items
Lopunnite,Enables Lopunny to Mega Evolve during battle.,Hold items
Lost Satchel,,General items
Love Ball,Poké Ball for catching Pokémon that are the opposite gender of your Pokémon.,Pokeballs
Love Sweet,Evolves Milcery into Heart Flavor Alcremie.,Hold items
Lucarionite,Enables Lucario to Mega Evolve during battle.,Hold items
Luck Incense,Doubles prize money if held. Breeding Chansey or Blissey produces Happiny when held.,Hold items
Lucky Egg,An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.,Hold items
Lucky Punch,Increases critical-hit ratio when held by Chansey.,Hold items
Lum Berry,"If held by a Pokémon, it recovers from any status problem.",Berries
Luminous Moss,Raises Special Defense if hit by a Water-type move.,Hold items
Lumiose Galette,Heals all major status conditions.,Medicine
Lunalium Z,"Allows Lunala to upgrade Moongeist Beam to a Z-Move, Menacing Moonraze Maelstrom.",Hold items
Lure,Attracts Pokémon in the wild.,General items
Lure Ball,A Poké Ball for catching Pokémon hooked by a Rod when fishing.,Pokeballs
Lustrous Globe,,Hold items
Lustrous Orb,Increases the power of Dragon- and Water-type moves when held by Palkia.,Hold items
Luvdisc Scales,"Material obtained after defeating/catching Luvdisc, used in TM crafting.",General items
Luxury Ball,Catches wild Pokémon and increases their friendship more quickly.,Pokeballs
Lycanium Z,"Allows Lycanroc to upgrade Stone Edge to a Z-Move, Splintered Stormshards.",Hold items
Macho Brace,An item to be held by a Pokémon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.,Hold items
Magical Heart Pick,A pick shaped after a magic wand. Perhaps the real magic is the food maker’s wish for a delicious dish.,
Magical Star Pick,A pick shaped after a magic wand. Perhaps the real magic is the food maker’s wish for a delicious dish.,
Magikarp Scales,"Material obtained after defeating/catching Magikarp, used in TM crafting.",General items
Magmarizer,Evolves Magmar when traded holding the item.,General items
Magnemite Screw,"Material obtained after defeating/catching Magnemite, used in TM crafting.",General items
Magnet,Increases the power of Electric-type moves.,Hold items
Mago Berry,"Restores HP if it's low, but may cause confusion.",Berries
Magost Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,Berries
Makuhita Sweat,"Material obtained after defeating/catching Makuhita, used in TM crafting.",General items
Malicious Armor,Evolves Charcadet into Ceruledge.,General items
Manectite,Enables Manectric to Mega Evolve during battle.,Hold items
Mankey Fur,"Material obtained after defeating/catching Mankey, used in TM crafting.",General items
Maranga Berry,"If held by a Pokémon, this Berry will increase the holder's Sp. Def if it's hit with a special move.",Berries
Marble,,General items
Mareanie Spike,"Material obtained after defeating/catching Mareanie, used in TM crafting.",General items
Mareep Wool,"Material obtained after defeating/catching Mareep, used in TM crafting.",General items
Marill Ball,A Marill-themed ball. It’s soft and springy. Make sure you haven’t mistaken a real Marill for this ball before throwing.,
Marmalade,"A condiment with sour and bitter notes. It’s surprisingly useful, as it makes a nice counterpoint to oilier foods.",
Marsh Balm,,General items
Marshadium Z,"Allows Marshadow to upgrade Spectral Thief to a Z-Move, Soul-Stealing 7-Star Strike.",Hold items
Maschiff Fang,"Material obtained after defeating/catching Maschiff, used in TM crafting.",General items
Master Ball,Catches any wild Pokémon without fail.,Pokeballs
Masterpiece Teacup,Evolves Poltchageist (Masterpiece) into Sinistcha (Masterpiece).,General items
Mawilite,Enables Mawile to Mega Evolve during battle.,Hold items
Max Elixir,Fully restores PP to all moves of a Pokémon.,Medicine
Max Ether,Fully restores PP to one move of a Pokémon.,Medicine
Max Honey,,General items
Max Lure,Attracts Pokémon in the wild.,General items
Max Mushrooms,,General items
Max Potion,Fully restores HP.,Medicine
Max Repel,An item that prevents weak wild Pokémon from appearing for 250 steps after its use.,General items
Max Revive,"Revives a fainted Pokémon, fully restoring its HP.",Medicine
Mayonnaise,A condiment that packs a very tart punch yet pairs well with various ingredients.,
Meadow Plate,Increases power of Grass-type moves. Changes Arceus' type to Grass.,Hold items
Medichamite,Enables Medicham to Mega Evolve during battle.,Hold items
Medicinal Leek,,General items
Meditite Sweat,"Material obtained after defeating/catching Meditite, used in TM crafting.",General items
Mental Herb,An item to be held by a Pokémon. It snaps the holder out of infatuation. It can be used only once.,Hold items
Meowth Fur,"Material obtained after defeating/catching Meowth, used in TM crafting.",General items
Metagrossite,Enables Metagross to Mega Evolve during battle.,Hold items
Metal Alloy,Evolves Duraludon into Archaludon.,General items
Metal Coat,Increases the power of Steel-type moves. Evolves Onix and Scyther when traded holding the item.,Hold items
Metal Powder,Increases Defense when held by Ditto.,Hold items
Metronome,Increases the power of moves used consecutively.,Hold items
Mewnium Z,"Allows Mew to upgrade Psychic to a Z-Move, Genesis Supernova.",Hold items
Mewtwonite X,Enables Mewtwo to Mega Evolve during battle.,Hold items
Mewtwonite Y,Enables Mewtwo to Mega Evolve during battle.,Hold items
Micle Berry,Increases a move's accuracy when HP is low.,Berries
Mighty Candy,Increases a Pokémon's Attack stat by 1.,Medicine
Mighty Candy L,Increases a Pokémon's Attack stat.,Medicine
Mighty Candy XL,Increases a Pokémon's Attack stat.,Medicine
Mild Mint,Changes the Pokémon's stats to match the Mild nature.,Battle items
Mimikium Z,"Allows Mimikyu to upgrade Play Rough to a Z-Move, Let's Snuggle Forever.",Hold items
Mimikyu Scrap,"Material obtained after defeating/catching Mimikyu, used in TM crafting.",General items
Mind Plate,Increases power of Psychic-type moves. Changes Arceus' type to Psychic.,Hold items
Mint Tablecloth,"A light mint-colored tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound.",
Miracle Seed,Increases the power of Grass-type moves.,Hold items
Miraidon's Poké Ball,A Poké Ball that can hold the mysterious Pokémon known as Miraidon. A boy named Arven gave it to you.,
Mirror Herb,Copies an opponent's stat increases when consumed.,Hold items
Misdreavus Tears,"Material obtained after defeating/catching Misdreavus, used in TM crafting.",General items
Misty Seed,An item to be held by a Pokémon. It boosts Sp. Def on Misty Terrain. It can only be used once.,Hold items
Mixed Mushrooms,One of the many ingredients that can be used for cooking at your camp. The chewy texture of the mushrooms transforms any dish they’re added to.,General items
Modest Mint,Changes the Pokémon's stats to match the Modest nature.,Battle items
Monstrous Tablecloth,A tablecloth designed by the Pewter Museum of Science. The academic air of the pattern is a big hit with kids and adults alike.,
Moomoo Cheese,One of the many ingredients that can be used for cooking at your camp. Melted cheese can really give a curry some richness.,General items
Moomoo Milk,Restores 100 HP.,Medicine
Moon Ball,A Poké Ball for catching Pokémon that evolve using the Moon Stone.,Pokeballs
Moon Stone,Evolves certain species of Pokémon.,General items
Mudbray Mud,"Material obtained after defeating/catching Mudbray, used in TM crafting.",General items
Murkrow Bauble,"Material obtained after defeating/catching Murkrow, used in TM crafting.",General items
Muscle Band,Increases the power of Physical-category moves.,Hold items
Muscle Feather,Increases Attack EVs by 1.,Medicine
Muscle Mochi,Increases Attack EVs.,Medicine
Mushroom Cake,,General items
Mustard,A very spicy condiment that’s indispensable when bread is on the table. It pairs tremendously with ketchup.,
Mysterious Shard L,"A large shard that emanates an enigmatic power. Inside the shard, you can see a pattern that looks like Ramanas roses.",
Mysterious Shard S,"A small shard that emanates an enigmatic power. Inside the shard, you can see a pattern that looks like Ramanas roses.",
Mystic Water,Increases the power of Water-type moves.,Hold items
Nacli Salt,"Material obtained after defeating/catching Nacli, used in TM crafting.",General items
Naive Mint,Changes the Pokémon's stats to match the Naive nature.,Battle items
Nanab Berry,"A Berry to be used in cooking. Calms a Pokémon in battle, in Let's Go Pikachu/Eevee.",Berries
Naughty Mint,Changes the Pokémon's stats to match the Naughty nature.,Battle items
Nest Ball,Catches lower level wild Pokémon with a higher rate (up to 4x for level 1).,Pokeballs
Net Ball,Catches Water- and Bug-type Pokémon with 3.5x the rate of a standard Poké Ball.,Pokeballs
Never-Melt Ice,Increases the power of Ice-type moves.,Hold items
Noibat Fur,"Material obtained after defeating/catching Noibat, used in TM crafting.",General items
Nomel Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,Berries
Noodles,A nice salty ingredient. It’s unclear how well these boiled noodles will serve as a sandwich filling.,
Normal Gem,Increases the power of a Normal-type move only once.,Hold items
Normal Tera Shard,Changes a Pokémon's Tera Type to Normal.,
Normalium Z,"Allows the use of Breakneck Blitz, the Normal type Z-Move.",Hold items
Nugget,A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.,General items
Numel Lava,"Material obtained after defeating/catching Numel, used in TM crafting.",General items
Nymble Claw,"Material obtained after defeating/catching Nymble, used in TM crafting.",General items
Occa Berry,Weakens a supereffective Fire-type attack against the holding Pokémon.,Berries
Oceanic Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Oceanic Room at Ramanas Park.,
Odd Incense,Increases the power of Psychic-type moves. Breeding Mr. Mime produces Mime Jr. when held.,Hold items
Odd Keystone,A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.,General items
Old Amber,A piece of amber that contains the genetic material of an ancient Pokémon. It is clear with a reddish tint.,General items
Old Gateau,Heals all major status conditions.,Medicine
Olive Oil,A condiment offering faint notes of sour and bitter flavors. The most prized varieties are the ones Smoliv love the smell of—such oils’ quality is assured.,
Onion,This spicy veggie is indispensable to many sandwiches. It goes well with rich ingredients.,
Oran Berry,"If held by a Pokémon, it heals the user by just 10 HP.",Berries
Orange Dish,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The orange variety is the most popular of all.,
Oranguru Fur,"Material obtained after defeating/catching Oranguru, used in TM crafting.",General items
Oricorio Feather,"Material obtained after defeating/catching Oricorio, used in TM crafting.",General items
Origin Ball,,Pokeballs
Origin Ore,,General items
Orthworm Tarnish,"Material obtained after defeating/catching Orthworm, used in TM crafting.",General items
Oval Charm,An oval charm said to increase the chance of Pokémon Eggs being found at the Day Care.,General items
Oval Stone,Evolves Happiny when held.,General items
Pachirisu Fur,"Material obtained after defeating/catching Pachirisu, used in TM crafting.",General items
Pack of Potatoes,"One of the many ingredients that can be used for cooking at your camp. Potatoes help mellow out a spicy taste, to make a dish more mild.",General items
Packaged Curry,One of the many ingredients that can be used for cooking at your camp. Using packaged curry helps make sure there are no slipups when cooking.,General items
Pamtre Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.,Berries
Paralyze Heal,Cures a Pokémon of paralysis.,Medicine
Parasol Pick,"Some complain that the parasol part of this pick is hard to hold on to, so your fingers get messy. Still, it’s fun to twirl this all around after you’ve eaten.",
Park Ball,A special Poké Ball for the Pal Park.,Pokeballs
Party Sparkler Pick,This pick features a small sparkler that goes off automatically. It’s used at parties or for guests of honor. It leaves an oddly appealing aroma once it’s burned out.,
Pass Orb,"A mysterious orb containing the power of the Unova region, to be used when generating Pass Power.",Hold items
Passho Berry,Weakens a supereffective Water-type attack against the holding Pokémon.,Berries
Passimian Fur,"Material obtained after defeating/catching Passimian, used in TM crafting.",General items
Pasta,One of the many ingredients that can be used for cooking at your camp. These flour noodles make for a surprisingly good match with curry.,General items
Pawmi Fur,"Material obtained after defeating/catching Pawmi, used in TM crafting.",General items
Pawniard Blade,"Material obtained after defeating/catching Pawniard, used in TM crafting.",General items
Payapa Berry,Weakens a supereffective Psychic-type attack against the holding Pokémon.,Berries
Peach Tablecloth,"A light peach-colored tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound.",
Peanut Butter,A very sweet condiment. People in Paldea seem to favor the sweet varieties over the unsweetened.,
Pearl,A somewhat-small pearl that sparkles in a pretty silver color. It can be sold cheaply to shops.,General items
Pearl String,Very large pearls that sparkle in a pretty silver color. A maniac will buy them for a high price.,General items
Peat Block,A block of muddy material that can be used as fuel for burning when it is dried. It’s loved by a certain Pokémon.,General items
Pecha Berry,"If held by a Pokémon, it recovers from poison.",Berries
Pep-Up Plant,,General items
Pepper,A seasoning packing very spicy flavor. It goes nicely with oilier foods and works especially well when you add just a pinch for a hint of flavor.,
Permit,A permit that is needed to enter the Nature Preserve. Not many know about it.,General items
Persim Berry,"If held by a Pokémon, it recovers from confusion.",Berries
Petaya Berry,Raises Special Attack when HP is low.,Berries
Petilil Leaf,"Material obtained after defeating/catching Petilil, used in TM crafting.",General items
Pewter Crunchies,Heals all major status conditions.,Medicine
Phanpy Nail,"Material obtained after defeating/catching Phanpy, used in TM crafting.",General items
Pichu Fur,"Material obtained after defeating/catching Pichu, used in TM crafting.",General items
Pickle,This very sour ingredient is made by pickling veggies in a flavorful brine made from spices and vinegar.,
Picnic Set,A roomy basket packed with all sorts of things for use when enjoying picnicking with your Pokémon.,
Pidgeotite,Enables Pidgeot to Mega Evolve during battle.,Hold items
Pika-Pika Pick,"A Pick-achu, as it were, sporting Pikachu’s usual expression. It’s easy to grab by the ears, which is part of why it’s so popular.",
Pikachu Cup,"A cup for big-time Pokémon fans. Kids will happily drink out of it, making it a boon to parents.",
Pikanium Z,"Allows Pikachu to upgrade Volt Tackle to a Z-Move, Catastropika.",Hold items
Pikashunium Z,"Allows Pikachu in a cap to upgrade Thunderbolt to a Z-Move, 10,000,000 Volt Thunderbolt.",Hold items
Pinap Berry,"A Berry to be used in cooking. Increases chances of getting items when a Pokémon is caught, in Pokémon Let's Go.",Berries
Pincurchin Spines,"Material obtained after defeating/catching Pincurchin, used in TM crafting.",General items
Pineapple,"This very tart ingredient is a fruit of southern lands, and its color and texture are a thrill. It’s been cut into chunks to be easily manageable.",
Pineco Husk,"Material obtained after defeating/catching Pineco, used in TM crafting.",General items
Pink Apricorn,"A pink Apricorn. It has a nice, sweet scent.",General items
Pink Bottle,A go-to bottle widely used for drinks at picnics. Its simple design and portability make it popular among all sorts of people.,
Pink Cup,"A cup sold with the Pink Bottle. The two don’t stack, so they’re tough to pack—but they look good, so they’re popular with those who like to post picnic photos.",
Pink Nectar,The flower nectar obtained at the flowering shrubs on Royal Avenue. It changes the form of certain species of Pokémon.,Hold items
Pink Scarf,Raises holder's Cute aspect in a Contest.,General items
Pink Tablecloth,"A simple pink tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound.",
Pinsirite,Enables Pinsir to Mega Evolve during battle.,Hold items
Pixie Plate,Increases power of Fairy-type moves. Changes Arceus' type to Fairy.,Hold items
