Evolving_from,Evolving_to,level,item,description,type
Kubfu,Urshifu(Single Strike Style),0,Scroll Of Darkness,"Evolves with Scroll Of Darkness, or in Tower of Darkness in Galar",stone
Kubfu,Urshifu(Rapid Strike Style),0,Scroll Of Waters,"Evolves with Scroll Of Waters, or in Tower of Water in Galar",stone
Capsakid,Scovillain,0,Fire Stone,Evolves with Fire Stone,stone
Tadbulb,Bellibolt,0,Thunder Stone,Evolves with Thunder Stone,stone
Cetoddle,Cetitan,0,Ice Stone,Evolves with Ice Stone,stone
Charcadet,Armarouge,0,Auspicious Armor,Evolves with Auspicious Armor,stone
Charcadet,Ceruledge,0,Malicious Armor,Evolves with Malicious Armor,stone
Poltchageist,Sinistcha,0,Unremarkable Teacup,Evolves with Unremarkable Teacup,stone
Duraludon,Archaludon,0,Metal Alloy,Evolves with Metal Alloy,stone
Poliwhirl,Politoed,0,Kings Rock,"Evolves being traded,  Kings Rock",trade
Kadabra,Alakazam,0,null,"Evolves being traded, ",trade
Machoke,Machamp,0,null,"Evolves being traded, ",trade
Graveler,Golem,0,null,"Evolves being traded, ",trade
Graveler(Alolan Graveler),Golem(Alolan Golem),0,null,"Evolves being traded, ",trade
Slowpoke,Slowking,0,Kings Rock,"Evolves being traded,  Kings Rock",trade
Haunter,Gengar,0,null,"Evolves being traded, ",trade
Onix,Steelix,0,Metal Coat,"Evolves being traded,  Metal Coat",trade
Rhydon,Rhyperior,0,Protector,"Evolves being traded,  Protector",trade
Seadra,Kingdra,0,Dragon Scale,"Evolves being traded,  Dragon Scale",trade
Scyther,Scizor,0,Metal Coat,"Evolves being traded,  Metal Coat",trade
Electabuzz,Electivire,0,Electirizer,"Evolves being traded,  Electirizer",trade
Magmar,Magmortar,0,Magmarizer,"Evolves being traded,  Magmarizer",trade
Porygon,Porygon2,0,Upgrade,"Evolves being traded,  Upgrade",trade
Porygon2,Porygon-Z,0,Dubious Disc,"Evolves being traded,  Dubious Disc",trade
Feebas,Milotic,0,Prism Scale,"Evolves being traded,  Prism Scale, or level up with max Beauty",trade
Dusclops,Dusknoir,0,Reaper Cloth,"Evolves being traded,  Reaper Cloth",trade
Clamperl,Huntail,0,Deep Sea Tooth,"Evolves being traded,  Deep Sea Tooth",trade
Clamperl,Gorebyss,0,Deep Sea Scale,"Evolves being traded,  Deep Sea Scale",trade
Boldore,Gigalith,0,null,"Evolves being traded, ",trade
Gurdurr,Conkeldurr,0,null,"Evolves being traded, ",trade
Karrablast,Escavalier,0,Shelmet,"Evolves being traded, Trade with Shelmet",trade
Shelmet,Accelgor,0,Karrablast,"Evolves being traded, Trade with Karrablast",trade
Spritzee,Aromatisse,0,Sachet,"Evolves being traded,  Sachet",trade
Swirlix,Slurpuff,0,Whipped Dream,"Evolves being traded,  Whipped Dream",trade
Phantump,Trevenant,0,null,"Evolves being traded, ",trade
Pumpkaboo(Average Size),Gourgeist(Average Size),0,null,"Evolves being traded, ",trade
Pichu,Pikachu,0,null,evolves through friendship ,friendship
Cleffa,Clefairy,0,null,evolves through friendship ,friendship
Igglybuff,Jigglypuff,0,null,evolves through friendship ,friendship
Golbat,Crobat,0,null,evolves through friendship ,friendship
Meowth(Alolan Meowth),Persian(Alolan Persian),0,null,evolves through friendship ,friendship
Chansey,Blissey,0,null,evolves through friendship ,friendship
Eevee,Espeon,0,null,evolves through friendship Daytime,friendship
Eevee,Umbreon,0,null,evolves through friendship Nighttime,friendship
Eevee,Sylveon,0,null,evolves through friendship after Fairy-type move learnedand either ♥♥ Affection in Gen 6-7 or high friendship in Gen 8+,friendship
Munchlax,Snorlax,0,null,evolves through friendship ,friendship
Togepi,Togetic,0,null,evolves through friendship ,friendship
Azurill,Marill,0,null,evolves through friendship ,friendship
Budew,Roselia,0,null,evolves through friendship Daytime,friendship
Chingling,Chimecho,0,null,evolves through friendship Nighttime,friendship
Buneary,Lopunny,0,null,evolves through friendship ,friendship
Riolu,Lucario,0,null,evolves through friendship Daytime,friendship
Woobat,Swoobat,0,null,evolves through friendship ,friendship
Swadloon,Leavanny,0,null,evolves through friendship ,friendship
Type: Null,Silvally,0,null,evolves through friendship ,friendship
Snom,Frosmoth,0,null,evolves through friendship Nighttime,friendship
Primeape,Annihilape,0,null,Use Rage Fist 20 times,status
Lickitung,Lickilicky,0,Rollout,after Rollout learned,status
Happiny,Chansey,0,Oval Stone,"hold Oval Stone, Daytime",status
Tangela,Tangrowth,0,Ancient Power,after Ancient Power learned,status
Mime Jr.,Mr. Mime,0,Mimic,"after Mimic learned, outside Galar",status
Mime Jr.,Mr. Mime(Galarian Mr. Mime),0,Mimic,"after Mimic learned, in Galar",status
Bonsly,Sudowoodo,0,Mimic,after Mimic learned,status
Aipom,Ambipom,0,Double Hit,after Double Hit learned,status
Yanma,Yanmega,0,Ancient Power,after Ancient Power learned,status
Gligar,Gliscor,0,Razor Fang,"hold Razor Fang, Nighttime",status
Sneasel,Weavile,0,Razor Claw,"hold Razor Claw, Nighttime",status
Piloswine,Mamoswine,0,Ancient Power,after Ancient Power learned,status
Mantyke,Mantine,0,Remoraid,with Remoraid in party,status
Nosepass,Probopass,0,Magnetic Field,level up in a Magnetic Field area,status
Yamask(Galarian Yamask),Runerigus,0,null,near Dusty Bowl,status
Bisharp,Kingambit,0,null,defeat 3 Bisharp that are holding Leader's Crest,status
Steenee,Tsareena,0,Stomp,after Stomp learned,status
Poipole,Naganadel,0,Dragon Pulse,after Dragon Pulse learned,status
Meltan,Melmetal,0,null,"Pokémon GO only, 400 Meltan Candies",status
Milcery,Alcremie,0,null,spin around holding Sweet,status
Dipplin,Hydrapple,0,Dragon Cheer,after Dragon Cheer learned,status
Farfetch'd(Galarian Farfetch'd),Sirfetch'd,0,null,achieve 3 critical hits in one battle,status
Clobbopus,Grapploct,0,Taunt,after Taunt learned,status
Stantler,Wyrdeer,0,null,use Psyshield Bash 20 times in Agile Style,status
Basculin(White-Striped Form),Basculegion(Male),0,null,"Male, receive 294 recoil damage in battle",status
Basculin(White-Striped Form),Basculegion(Female),0,null,"Female, receive 294 recoil damage in battle",status
Qwilfish(Hisuian Qwilfish),Overqwil,0,null,use Barb Barrage 20 times in Strong Style,status
Girafarig,Farigiraf,0,Twin Beam,after Twin Beam learned,status
Dunsparce,Dudunsparce(Two-Segment Form),0,Hyper Drill,after Hyper Drill learned,status
Dunsparce,Dudunsparce(Three-Segment Form),0,Hyper Drill,"after Hyper Drill learned, rare",status
Rellor,Rabsca,0,null,"walk 1,000 steps in Let's Go mode",status
Pawmo,Pawmot,0,null,"walk 1,000 steps in Let's Go mode",status
Bramblin,Brambleghast,0,null,"walk 1,000 steps in Let's Go mode",status
Gimmighoul(Chest Form),Gholdengo,0,null,collect 999 Coins from Roaming Form,status
